iter	Passed	Remaining
0	69	68967
1	73	36666
2	77	25594
3	79	19914
4	83	16520
5	86	14254
6	89	12647
7	92	11472
8	95	10538
9	98	9790
10	102	9173
11	105	8680
12	108	8266
13	112	7888
14	115	7558
15	118	7275
16	121	7028
17	124	6797
18	127	6597
19	130	6418
20	134	6251
21	137	6113
22	141	5992
23	144	5862
24	147	5744
25	150	5630
26	153	5529
27	156	5438
28	159	5351
29	162	5268
30	166	5190
31	169	5120
32	172	5059
33	175	4994
34	178	4929
35	181	4868
36	184	4813
37	188	4773
38	191	4720
39	195	4691
40	199	4663
41	203	4633
42	206	4606
43	210	4574
44	214	4545
45	217	4514
46	221	4499
47	226	4486
48	229	4455
49	234	4448
50	237	4426
51	241	4402
52	244	4375
53	248	4362
54	253	4347
55	256	4327
56	259	4300
57	263	4283
58	267	4269
59	271	4254
60	274	4232
61	278	4208
62	282	4197
63	286	4182
64	289	4167
65	293	4146
66	296	4133
67	300	4120
68	304	4108
69	308	4102
70	314	4109
71	318	4101
72	322	4092
73	326	4088
74	331	4082
75	334	4072
76	338	4055
77	341	4037
78	345	4029
79	349	4019
80	353	4007
81	356	3986
82	359	3969
83	363	3966
84	367	3958
85	371	3944
86	374	3925
87	377	3915
88	381	3909
89	385	3901
90	389	3888
91	393	3884
92	397	3877
93	401	3869
94	405	3858
95	408	3851
96	413	3845
97	417	3838
98	420	3824
99	423	3812
100	427	3809
101	431	3803
102	435	3794
103	439	3785
104	444	3786
105	448	3781
106	452	3772
107	455	3760
108	459	3754
109	463	3748
110	467	3744
111	471	3735
112	475	3729
113	479	3725
114	483	3720
115	486	3710
116	490	3705
117	495	3702
118	499	3697
119	503	3689
120	507	3685
121	511	3681
122	515	3674
123	519	3667
124	524	3671
125	528	3667
126	532	3662
127	536	3653
128	540	3651
129	544	3646
130	549	3643
131	552	3636
132	557	3632
133	561	3629
134	565	3624
135	569	3616
136	573	3614
137	577	3606
138	581	3602
139	587	3608
140	592	3609
141	596	3605
142	601	3604
143	605	3602
144	609	3595
145	613	3589
146	617	3582
147	622	3580
148	625	3574
149	629	3568
150	633	3561
151	637	3555
152	640	3548
153	644	3542
154	648	3535
155	652	3529
156	656	3525
157	660	3519
158	664	3513
159	668	3507
160	671	3500
161	675	3493
162	679	3486
163	682	3481
164	686	3475
165	690	3469
166	694	3463
167	698	3456
168	700	3444
169	704	3438
170	708	3432
171	711	3425
172	715	3420
173	719	3414
174	723	3409
175	726	3402
176	730	3397
177	734	3392
178	738	3386
179	741	3380
180	745	3373
181	749	3368
182	753	3362
183	757	3358
184	761	3352
185	764	3347
186	768	3342
187	772	3337
188	776	3332
189	780	3326
190	784	3324
191	789	3321
192	793	3318
193	798	3315
194	802	3313
195	806	3308
196	810	3303
197	815	3301
198	819	3297
199	823	3293
200	827	3287
201	830	3281
202	834	3276
203	838	3271
204	842	3265
205	846	3261
206	849	3256
207	853	3250
208	857	3244
209	861	3240
210	865	3236
211	869	3231
212	873	3225
213	876	3220
214	880	3216
215	884	3210
216	888	3205
217	892	3200
218	896	3195
219	899	3190
220	903	3185
221	907	3179
222	911	3174
223	914	3169
224	918	3163
225	922	3158
226	926	3153
227	929	3148
228	933	3143
229	937	3137
