iter	Logloss
0	0.6402644098
1	0.6038854466
2	0.5664056515
3	0.5366216427
4	0.5121123967
5	0.4925042965
6	0.4713723282
7	0.4528444494
8	0.4370861205
9	0.4241896909
10	0.4143724743
11	0.4038680637
12	0.3955351145
13	0.3871623873
14	0.3806079933
15	0.3743084404
16	0.3696039931
17	0.3652072019
18	0.3611284142
19	0.3563061898
20	0.3526170768
21	0.3499775498
22	0.3475192594
23	0.344876442
24	0.3433774105
25	0.3416247027
26	0.3393372721
27	0.3371354459
28	0.3355010263
29	0.333672788
30	0.3316140585
31	0.3297107925
32	0.3280568386
33	0.3268916136
34	0.3258716505
35	0.3245492845
36	0.3233942753
37	0.322251434
38	0.3209479329
39	0.3196160261
40	0.3187601092
41	0.3176488504
42	0.3166894801
43	0.3156238634
44	0.3147457999
45	0.3142428723
46	0.3137277426
47	0.3130197652
48	0.3124563821
49	0.3116780342
50	0.3110866249
51	0.310359576
52	0.3097203587
53	0.3091315376
54	0.3085820249
55	0.3082423307
56	0.307869827
57	0.3075718572
58	0.3069170348
59	0.30632103
60	0.3057033326
61	0.3052963759
62	0.3047348449
63	0.3042496957
64	0.3038274438
65	0.3033981593
66	0.3030461896
67	0.3027925158
68	0.3023463182
69	0.3020091156
70	0.3016350768
71	0.30129036
72	0.3009608503
73	0.3006557872
74	0.3003762085
75	0.3001465043
76	0.2999321207
77	0.2995780647
78	0.2989951712
79	0.2988134513
80	0.2986081635
81	0.298317236
82	0.2979785988
83	0.2977743423
84	0.2973116619
85	0.2972342474
86	0.2969696704
87	0.2966409029
88	0.2961860079
89	0.2959711074
90	0.2954658157
91	0.2953484463
92	0.2952437457
93	0.2950215821
94	0.2948389459
95	0.2945415902
96	0.2942980301
97	0.2941183916
98	0.2939545093
99	0.2938052966
100	0.2936880028
101	0.293539263
102	0.293418202
103	0.2932044795
104	0.2930698847
105	0.2928507308
106	0.2926571156
107	0.2925089089
108	0.29236067
109	0.2921472221
110	0.2919506441
111	0.2917021779
112	0.2913516638
113	0.2912295399
114	0.2911235166
115	0.2910336814
116	0.2909231464
117	0.2908336054
118	0.2906468575
119	0.2905321038
120	0.2904511767
121	0.2902999702
122	0.2900986818
123	0.2898998923
124	0.2897807322
125	0.2896903523
126	0.2895888798
127	0.2895230356
128	0.2892851938
129	0.2891838914
130	0.2890660839
131	0.2889612844
132	0.2888370396
133	0.2887526556
134	0.2886619496
135	0.2886054201
136	0.2883450395
137	0.2882103827
138	0.2879744815
139	0.2877463299
140	0.2876608779
141	0.2875868077
142	0.2874993634
143	0.2874195292
144	0.2873474843
145	0.2872961307
146	0.2871949074
147	0.2871266917
148	0.2867317638
149	0.2865373072
150	0.2864646578
151	0.2863680265
152	0.2862810294
153	0.2861915189
154	0.2861124004
155	0.2860452142
156	0.2859576397
157	0.2858390821
158	0.2857813903
159	0.2856455763
160	0.2855583964
161	0.285487146
162	0.2854375502
163	0.2853562752
164	0.2851860933
165	0.2850952767
166	0.2850486693
167	0.2849826797
168	0.2847427296
169	0.2846186671
170	0.2845075146
171	0.2844323963
172	0.2843806398
173	0.2841544984
174	0.28405319
175	0.2839639979
176	0.2837975894
177	0.2837351628
178	0.2836438998
179	0.2835723223
180	0.2835136966
181	0.2834431601
182	0.2833416133
183	0.2832590787
184	0.2832042728
185	0.2831640346
186	0.2829770738
187	0.2828686124
188	0.2826583585
189	0.2825751277
190	0.2825295465
191	0.2824215995
192	0.2823555471
193	0.2820980761
194	0.2819439593
195	0.281820174
196	0.2816806874
197	0.2816054972
198	0.2815190882
199	0.2812911116
200	0.2812426485
201	0.2811737719
202	0.2811262302
203	0.2810168316
204	0.2809069122
205	0.2806784172
206	0.2804825754
207	0.2804475247
208	0.2804051027
209	0.2803092558
210	0.2801662456
211	0.2800822454
212	0.280024537
213	0.2799729008
214	0.2799032249
215	0.2798360591
216	0.2797577179
217	0.2797045474
218	0.2796423377
219	0.2795134625
220	0.279453212
221	0.2793482169
222	0.2792781636
223	0.2792021379
224	0.2791388107
225	0.2791058669
226	0.2790635436
227	0.278977731
228	0.2788371088
229	0.2787792928
230	0.2786934133
231	0.2786241715
