iter	Passed	Remaining
0	58	58358
1	65	32481
2	72	24020
3	79	19761
4	86	17230
5	92	15406
6	98	14015
7	103	12844
8	108	11933
9	112	11133
10	115	10408
11	118	9786
12	121	9245
13	124	8772
14	127	8385
15	130	8045
16	133	7736
17	136	7458
18	139	7210
19	142	6992
20	145	6783
21	148	6600
22	151	6439
23	154	6284
24	157	6140
25	160	6017
26	163	5893
27	166	5787
28	169	5686
29	172	5588
30	175	5497
31	178	5406
32	181	5319
33	184	5242
34	187	5163
35	190	5089
36	193	5030
37	196	4975
38	199	4917
39	202	4867
40	205	4812
41	208	4765
42	211	4715
43	215	4674
44	219	4655
45	223	4632
46	226	4590
47	230	4564
48	233	4530
49	236	4492
50	239	4455
51	242	4415
52	245	4381
53	247	4342
54	250	4310
55	253	4277
56	256	4247
57	259	4215
58	262	4186
59	265	4158
60	268	4129
61	271	4101
62	274	4076
63	277	4052
64	280	4028
65	283	4005
66	286	3983
67	288	3960
68	291	3939
69	295	3919
70	298	3899
71	301	3879
72	303	3860
73	307	3842
74	309	3822
75	312	3801
76	315	3783
77	318	3767
78	321	3749
79	324	3732
80	327	3715
81	330	3697
82	333	3683
83	336	3672
84	339	3659
85	342	3642
86	345	3627
87	348	3613
88	351	3598
89	354	3585
90	357	3571
91	360	3557
92	363	3542
93	366	3528
94	369	3515
95	372	3503
96	375	3495
97	378	3484
98	382	3478
99	385	3469
100	388	3460
101	391	3449
102	395	3442
103	398	3434
104	401	3423
105	404	3415
106	408	3406
107	412	3405
108	416	3404
109	420	3402
110	423	3394
111	427	3390
112	430	3381
113	434	3378
114	438	3371
115	442	3369
116	445	3363
117	449	3359
118	453	3356
119	456	3348
120	460	3343
121	463	3337
122	467	3336
123	471	3330
124	475	3328
125	479	3323
126	482	3316
127	485	3310
128	489	3304
129	493	3300
130	496	3294
131	500	3290
132	503	3284
133	508	3283
134	511	3275
135	514	3271
136	518	3264
137	522	3261
138	525	3254
139	529	3251
140	532	3244
141	536	3242
142	540	3237
143	544	3234
144	548	3232
145	551	3227
146	555	3224
147	558	3216
148	563	3216
149	566	3208
150	569	3204
151	573	3197
152	576	3194
153	580	3191
154	584	3187
155	588	3185
156	592	3182
157	597	3182
158	600	3174
159	604	3171
160	607	3165
161	611	3160
162	615	3159
163	618	3153
164	622	3151
165	626	3146
166	630	3144
167	633	3138
168	637	3135
169	640	3128
170	644	3123
171	647	3117
172	651	3113
173	654	3105
174	658	3102
175	661	3096
176	665	3092
177	668	3087
178	671	3081
179	675	3076
180	678	3070
